80,144,85,0
83,236,88,1
265,340,360,1
374,144,12,0
296,328,130,1
62,80,183,0
14,75,211,0
177,396,157,1
322,83,72,0
19,382,391,1
292,256,63,1
151,237,224,1
42,252,16,1
11,324,185,1
318,59,126,0
109,154,327,0
134,115,119,0
38,204,267,1
227,303,31,1
265,286,217,1
389,206,4,1
177,82,355,0
189,211,54,1
215,113,390,0
337,320,396,1
258,284,180,1
11,358,233,1
58,204,66,1
345,359,52,1
296,211,211,1
88,161,305,0
5,398,343,1
175,8,109,0
384,379,250,1
21,291,229,1
317,72,220,0
277,355,265,1
10,374,270,1
133,157,0,0
335,209,172,1
152,70,353,0
159,206,196,1
308,326,27,1
324,250,193,1
305,222,170,1
65,329,109,1
395,261,217,1
268,305,87,1
352,188,280,0
377,103,121,0
278,62,302,0
251,131,353,0
10,9,162,0
293,274,182,1
99,211,277,1
276,247,138,1
265,67,271,0
52,219,312,1
31,156,138,0
390,223,342,1
154,15,339,0
268,73,391,0
36,239,388,1
77,315,255,1
289,283,112,1
141,209,257,1
237,341,329,1
163,270,362,1
157,320,90,1
374,289,41,1
165,50,342,0
106,18,76,0
100,291,287,1
90,231,382,1
281,323,176,1
175,221,395,1
263,261,97,1
359,248,43,1
133,306,279,1
124,107,225,0
196,51,48,0
128,61,294,0
242,257,26,1
390,254,176,1
82,245,291,1
74,297,38,1
41,350,137,1
388,183,374,0
132,292,59,1
47,395,248,1
203,335,134,1
171,305,272,1
71,363,132,1
340,59,148,0
73,250,192,1
9,116,46,0
210,279,54,1
47,148,94,0
372,369,335,1
3,322,161,1
342,288,348,1
66,131,5,0
196,330,341,1
47,259,312,1
318,196,123,0
285,278,71,1
198,180,199,0
68,25,100,0
258,248,38,1
34,218,363,1
252,303,242,1
85,36,72,0
340,376,397,1
279,122,276,0
63,58,222,0
37,394,260,1
124,300,190,1
217,309,55,1
296,333,160,1
351,111,16,0
333,195,174,0
343,133,298,0
165,129,150,0
102,310,153,1
44,324,389,1
276,34,351,0
156,124,62,0
18,281,247,1
316,81,213,0
270,208,126,1
180,267,385,1
375,312,271,1
143,240,40,1
199,378,34,1
158,55,182,0
68,70,191,0
398,224,118,1
171,238,237,1
136,260,1,1
219,220,203,1
212,248,174,1
74,273,309,1
310,245,163,1
107,16,286,0
189,297,42,1
70,113,124,0
29,173,107,0
207,391,22,1
56,99,357,0
224,239,98,1
157,346,50,1
127,192,334,0
362,88,304,0
384,224,270,1
358,283,257,1
231,187,300,0
91,62,99,0
26,129,337,0
263,204,379,1
163,202,197,1
83,214,372,1
113,48,367,0
71,111,329,0
283,6,274,0
21,400,110,1
13,134,64,0
266,269,177,1
312,33,215,0
58,34,19,0
129,143,368,0
319,320,51,1
217,174,190,0
377,166,128,0
91,329,81,1
321,371,279,1
99,185,133,0
192,386,200,1
341,35,259,0
335,255,230,1
265,8,201,0
3,66,46,0
219,196,110,0
362,76,96,0
197,97,357,0
209,180,266,0
9,363,317,1
232,312,353,1
53,46,363,0
0,183,384,0
385,199,254,0
297,204,204,1
160,110,176,0
279,247,20,1
291,372,252,1
203,29,341,0
316,245,158,1
364,91,110,0
288,396,288,1
52,29,320,0
187,229,131,1
